timestamp,loft_temperature,mid_tank_temperature,cupboard_temperature,gas_boiler_temperature,boiler_return_temperature,wood_burner_temperature,shower_output_temperature
2021-08-20T14:47:00Z,22.00,63.00,,,--,,42.12
2021-08-20T14:48:00Z,22.00,63.00,,63.12,--,63.38,42.06
2021-08-20T14:50:00Z,22.00,63.00,,63.19,--,63.38,42.00
2021-08-20T14:51:00Z,22.00,63.00,,63.12,--,63.31,41.94
2021-08-20T14:52:00Z,22.00,63.00,,63.12,--,63.31,41.94
2021-08-20T14:53:00Z,22.00,63.00,,63.12,--,63.31,41.88
2021-08-20T14:54:00Z,22.06,63.00,,63.12,--,63.31,41.81
2021-08-20T14:55:00Z,22.06,63.00,,63.12,--,63.31,41.81
2021-08-20T14:57:00Z,22.06,63.00,,63.12,--,63.31,41.75
2021-08-20T14:58:00Z,22.06,63.00,,63.12,--,63.31,41.69
2021-08-20T14:59:00Z,22.06,63.00,,63.12,--,63.31,41.69
2021-08-20T15:00:00Z,22.06,63.00,,63.12,--,63.31,41.56
2021-08-20T15:01:00Z,22.06,63.00,,63.12,--,63.31,41.56
2021-08-20T15:02:00Z,22.06,63.00,,63.12,--,63.31,41.50
2021-08-20T15:04:00Z,22.12,63.00,,63.12,--,63.25,41.38
2021-08-20T15:05:00Z,22.12,63.00,,63.12,--,63.31,41.38
2021-08-20T15:06:00Z,22.12,63.00,,63.12,--,63.25,41.38
2021-08-20T15:07:00Z,22.12,63.00,,63.12,--,63.25,41.31
2021-08-20T15:08:00Z,22.12,63.00,,63.12,--,63.25,41.31
2021-08-20T15:09:00Z,22.12,63.00,,63.12,--,63.25,41.25
2021-08-20T15:11:00Z,22.12,63.00,,63.12,--,63.25,41.19
2021-08-20T15:12:00Z,22.12,63.00,,63.12,--,63.25,41.19
2021-08-20T15:13:00Z,22.12,63.00,,63.12,--,63.25,41.12
2021-08-20T15:14:00Z,22.12,63.00,,63.12,--,63.25,41.12
2021-08-20T15:15:00Z,22.12,--,,63.12,--,63.25,41.06
2021-08-20T15:16:00Z,22.12,63.00,,63.12,--,63.25,41.00
2021-08-20T15:18:00Z,22.12,63.00,,63.12,--,63.25,41.00
2021-08-20T15:19:00Z,22.12,63.00,,63.12,--,63.25,40.94
2021-08-20T15:20:00Z,22.12,63.00,,63.12,--,63.25,40.94
2021-08-20T15:22:00Z,22.12,62.94,,63.12,37.62,63.25,40.88
2021-08-20T15:24:00Z,22.06,62.94,,63.12,37.56,63.25,40.81
2021-08-20T15:25:00Z,22.12,63.00,,63.12,37.56,63.25,40.81
2021-08-20T15:26:00Z,22.06,62.94,,63.12,37.50,63.25,40.75
2021-08-20T15:28:00Z,22.12,62.94,,63.12,,63.19,40.75
2021-08-20T15:29:00Z,22.12,62.94,,63.12,37.31,63.19,40.75
2021-08-20T15:31:00Z,22.12,62.94,,63.12,37.31,63.19,40.62
2021-08-20T15:32:00Z,22.06,62.94,,63.12,37.25,63.19,40.69
2021-08-20T15:33:00Z,22.12,62.94,,63.12,37.25,63.19,40.81
2021-08-20T15:34:00Z,22.06,62.81,,62.94,37.12,63.00,40.69
2021-08-20T15:35:00Z,22.06,62.56,,62.62,36.88,62.62,40.44
2021-08-20T15:36:00Z,22.00,62.50,,62.69,36.56,62.69,40.31
2021-08-20T15:38:00Z,22.00,62.56,,62.88,36.44,62.75,40.25
2021-08-20T15:39:00Z,22.00,62.69,,62.94,36.31,62.88,40.25
2021-08-20T15:40:00Z,22.00,62.69,,63.0,36.19,63.00,40.31
2021-08-20T15:41:00Z,22.06,62.75,,63.0,36.12,63.00,40.31
2021-08-20T15:42:00Z,22.00,62.75,,63.0,36.12,63.06,40.38
2021-08-20T15:44:00Z,22.00,62.75,,63.0,36.12,63.06,40.38
2021-08-20T15:45:00Z,21.94,62.75,,63.0,36.12,63.06,40.38
2021-08-20T15:46:00Z,22.00,62.75,,63.0,36.19,63.06,40.38
2021-08-20T15:47:00Z,22.00,62.75,,63.0,36.25,63.06,40.44
2021-08-20T15:48:00Z,22.00,62.75,,63.0,36.19,63.12,40.38
2021-08-20T15:50:00Z,22.06,62.81,,63.0,36.25,63.06,40.38
2021-08-20T15:51:00Z,22.06,62.75,,63.0,36.31,63.06,40.38
2021-08-20T15:52:00Z,22.06,62.75,,63.0,36.44,63.06,40.31
